wake_date,sleep_date,wake_hour,sleep_hour,gap_hours,wake_timestamp,sleep_timestamp
2023-12-01,2023-11-30,13.02,21.63,15.02,2023-12-01T13:01:21.070000-05:00,2023-11-30T21:38:43.264000-05:00
2023-12-02,2023-12-01,13.58,16.58,20.48,2023-12-02T13:35:24.019000-05:00,2023-12-01T16:35:00.689000-05:00
2023-12-03,2023-12-02,11.27,16.75,18.24,2023-12-03T11:16:47.037000-05:00,2023-12-02T16:45:17.279000-05:00
2023-12-03,2023-12-03,15.70,12.12,3.55,2023-12-03T15:42:41.709000-05:00,2023-12-03T12:07:03.698000-05:00
2023-12-03,2023-12-03,20.97,16.47,4.40,2023-12-03T20:58:29.635000-05:00,2023-12-03T16:28:58.414000-05:00
2023-12-04,2023-12-04,9.22,1.02,8.16,2023-12-04T09:13:01.914000-05:00,2023-12-04T01:01:43.907000-05:00
2023-12-05,2023-12-05,9.17,4.12,5.00,2023-12-05T09:10:33.788000-05:00,2023-12-05T04:07:34.397000-05:00
2023-12-06,2023-12-05,13.42,19.07,18.29,2023-12-06T13:25:31.902000-05:00,2023-12-05T19:04:35.952000-05:00
2023-12-07,2023-12-07,12.68,2.68,9.96,2023-12-07T12:41:30.819000-05:00,2023-12-07T02:41:06.709000-05:00
2023-12-07,2023-12-07,21.43,17.33,3.95,2023-12-07T21:26:48.604000-05:00,2023-12-07T17:20:00.864000-05:00
2023-12-08,2023-12-07,6.30,22.67,7.60,2023-12-08T06:18:16.205000-05:00,2023-12-07T22:40:41.477000-05:00
2023-12-08,2023-12-08,17.45,6.30,10.33,2023-12-08T17:27:23.049000-05:00,2023-12-08T06:18:16.205000-05:00
2023-12-09,2023-12-09,13.13,1.50,11.35,2023-12-09T13:08:10.908000-05:00,2023-12-09T01:30:17.513000-05:00
2023-12-10,2023-12-10,7.02,1.35,5.58,2023-12-10T07:01:25.158000-05:00,2023-12-10T01:21:50.267000-05:00
2023-12-10,2023-12-10,11.58,7.02,4.54,2023-12-10T11:35:16.935000-05:00,2023-12-10T07:01:25.158000-05:00
2023-12-11,2023-12-11,7.50,0.92,6.54,2023-12-11T07:30:44.343000-05:00,2023-12-11T00:55:16.191000-05:00
2023-12-12,2023-12-11,14.33,20.43,17.87,2023-12-12T14:20:46.773000-05:00,2023-12-11T20:26:44.050000-05:00
2023-12-13,2023-12-12,8.95,20.20,12.61,2023-12-13T08:57:13.101000-05:00,2023-12-12T20:12:42.527000-05:00
2023-12-13,2023-12-13,15.48,11.43,3.99,2023-12-13T15:29:19.220000-05:00,2023-12-13T11:26:30.272000-05:00
2023-12-14,2023-12-13,9.75,23.38,10.30,2023-12-14T09:45:17.830000-05:00,2023-12-13T23:23:55.879000-05:00
2023-12-15,2023-12-14,11.18,16.70,18.46,2023-12-15T11:11:26.569000-05:00,2023-12-14T16:42:17.369000-05:00
2023-12-16,2023-12-16,12.20,2.15,10.00,2023-12-16T12:12:48.867000-05:00,2023-12-16T02:09:52.495000-05:00
2023-12-17,2023-12-17,10.53,4.52,5.97,2023-12-17T10:32:55.993000-05:00,2023-12-17T04:31:44.902000-05:00
2023-12-17,2023-12-17,21.93,17.20,4.69,2023-12-17T21:56:25.706000-05:00,2023-12-17T17:12:42.851000-05:00
2023-12-18,2023-12-18,13.73,4.03,9.67,2023-12-18T13:44:04.027000-05:00,2023-12-18T04:02:43.811000-05:00
2023-12-19,2023-12-18,14.00,23.67,14.31,2023-12-19T14:00:59.077000-05:00,2023-12-18T23:40:21.054000-05:00
2023-12-20,2023-12-19,9.95,23.88,9.97,2023-12-20T09:57:38.453000-05:00,2023-12-19T23:53:41.136000-05:00
2023-12-20,2023-12-20,13.20,9.95,3.22,2023-12-20T13:12:06.822000-05:00,2023-12-20T09:57:38.453000-05:00
2023-12-21,2023-12-21,10.60,0.33,10.23,2023-12-21T10:36:29.402000-05:00,2023-12-21T00:20:07.451000-05:00
2023-12-21,2023-12-21,20.57,17.47,3.06,2023-12-21T20:34:51.712000-05:00,2023-12-21T17:28:25.308000-05:00
2023-12-22,2023-12-22,15.85,1.15,13.84,2023-12-22T15:51:28.201000-05:00,2023-12-22T01:09:09.464000-05:00
2023-12-23,2023-12-22,13.23,23.42,13.80,2023-12-23T13:14:59.240000-05:00,2023-12-22T23:25:26.289000-05:00
2024-01-01,2023-12-31,12.73,18.93,17.65,2024-01-01T12:44:51.168000-05:00,2023-12-31T18:56:51.541000-05:00
2024-01-02,2024-01-01,13.25,18.02,19.22,2024-01-02T13:15:39.342000-05:00,2024-01-01T18:01:15.289000-05:00
2024-01-03,2024-01-03,10.42,0.00,10.38,2024-01-03T10:25:49.913000-05:00,2024-01-03T00:00:48.009000-05:00
2024-01-04,2024-01-03,11.95,23.87,12.03,2024-01-04T11:57:18.038000-05:00,2024-01-03T23:52:32.720000-05:00
2024-01-05,2024-01-04,12.25,22.85,13.38,2024-01-05T12:15:51.383000-05:00,2024-01-04T22:51:55.245000-05:00
2024-01-05,2024-01-05,23.35,18.37,4.94,2024-01-05T23:21:26.760000-05:00,2024-01-05T18:22:52.165000-05:00
2024-01-06,2024-01-06,5.47,0.35,5.08,2024-01-06T05:28:11.252000-05:00,2024-01-06T00:21:28.633000-05:00
2024-01-06,2024-01-06,11.50,5.77,5.69,2024-01-06T11:30:05.446000-05:00,2024-01-06T05:46:00.081000-05:00
2024-01-06,2024-01-06,15.48,11.92,3.55,2024-01-06T15:29:24.201000-05:00,2024-01-06T11:55:12.180000-05:00
2024-01-07,2024-01-06,11.65,17.30,18.31,2024-01-07T11:39:31.843000-05:00,2024-01-06T17:18:49.463000-05:00
2024-01-08,2024-01-08,12.70,2.18,10.48,2024-01-08T12:42:16.566000-05:00,2024-01-08T02:11:46.008000-05:00
2024-01-09,2024-01-09,11.97,0.53,11.35,2024-01-09T11:58:04.728000-05:00,2024-01-09T00:32:13.431000-05:00
2024-01-10,2024-01-09,13.35,23.55,13.74,2024-01-10T13:21:34.894000-05:00,2024-01-09T23:33:35.853000-05:00
2024-01-11,2024-01-11,11.63,1.88,9.71,2024-01-11T11:38:12.603000-05:00,2024-01-11T01:53:47.463000-05:00
2024-01-12,2024-01-11,8.98,17.40,14.43,2024-01-12T08:59:43.227000-05:00,2024-01-11T17:24:34.090000-05:00
2024-01-13,2024-01-13,17.90,0.78,17.08,2024-01-13T17:54:33.881000-05:00,2024-01-13T00:47:11.053000-05:00
2024-01-14,2024-01-14,12.50,2.78,9.68,2024-01-14T12:30:37.525000-05:00,2024-01-14T02:47:49.499000-05:00
2024-01-14,2024-01-14,19.20,13.92,5.21,2024-01-14T19:12:22.086000-05:00,2024-01-14T13:55:57.228000-05:00
2024-01-15,2024-01-15,14.52,2.32,12.03,2024-01-15T14:31:51.439000-05:00,2024-01-15T02:19:33.290000-05:00
2024-01-16,2024-01-16,11.80,0.28,9.30,2024-01-16T11:48:41.161000-05:00,2024-01-16T00:17:59.743000-05:00
2024-01-17,2024-01-16,1.15,17.52,6.90,2024-01-17T01:09:44.530000-05:00,2024-01-16T17:31:56.473000-05:00
2024-01-17,2024-01-17,13.05,1.15,11.87,2024-01-17T13:03:36.190000-05:00,2024-01-17T01:09:44.530000-05:00
2024-01-18,2024-01-17,14.52,22.33,16.13,2024-01-18T14:31:48.090000-05:00,2024-01-17T22:20:55.293000-05:00
2024-01-19,2024-01-19,12.90,4.13,8.70,2024-01-19T12:54:02.282000-05:00,2024-01-19T04:08:47.794000-05:00
2024-01-20,2024-01-20,16.53,12.72,3.76,2024-01-20T16:32:32.996000-05:00,2024-01-20T12:43:54.014000-05:00
2024-01-21,2024-01-21,12.08,1.43,10.60,2024-01-21T12:05:18.583000-05:00,2024-01-21T01:26:45.176000-05:00
2024-01-21,2024-01-21,23.87,20.80,3.04,2024-01-21T23:52:09.004000-05:00,2024-01-21T20:48:52.721000-05:00
2024-01-22,2024-01-22,9.32,1.38,7.86,2024-01-22T09:19:17.126000-05:00,2024-01-22T01:23:30.990000-05:00
